Name,Rating,Reviews,Phone,Website,Email,Google Maps URL
Esparza's Restaurante Mexicano,N/A,N/A,+1 817-481-4668,https://www.esparzastexas.com/,esparzastexmex@verizon.net,https://www.google.com/maps/place/Esparza%27s+Restaurante+Mexicano/data=!4m7!3m6!1s0x864c2b3b7830717d:0x81c902f2a17f5cb!8m2!3d32.9375042!4d-97.0773133!16s%2Fg%2F1tg9hz81!19sChIJfXEweDsrTIYRy_UXKi-QHAg?authuser=0&hl=en&rclk=1
Texas de Brazil - San Antonio,N/A,N/A,+1 210-255-2775,https://texasdebrazil.com/locations/san-antonio/?utm_source=gmb&utm_medium=yext&y_source=1_NDg4MzA3NDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"example@texasdebrazil.com, about-offwhite-bg@2x.png",https://www.google.com/maps/place/Texas+de+Brazil+-+San+Antonio/data=!4m7!3m6!1s0x865c5f54a35efc59:0x89a6e1167b1762b7!8m2!3d29.4266445!4d-98.4891792!16s%2Fg%2F1tqpzp0l!19sChIJWfxeo1RfXIYRt2IXexbhpok?authuser=0&hl=en&rclk=1
Picone,N/A,N/A,+1 940-514-1214,https://piconedenton.net/?utm_source=google,,https://www.google.com/maps/place/Picone/data=!4m7!3m6!1s0x864dcbf7df6c7fa1:0x8ada00f0254d56bf!8m2!3d33.208044!4d-97.1340686!16s%2Fg%2F11k55688kf!19sChIJoX9s3_fLTYYRv1ZNJfAA2oo?authuser=0&hl=en&rclk=1
Thailicious,N/A,N/A,+1 817-737-8111,https://www.lovethailicious.com/,lovethailicious@gmail.com,https://www.google.com/maps/place/Thailicious/data=!4m7!3m6!1s0x864e73ac02abac6f:0xc8ba3e049cddb890!8m2!3d32.732142!4d-97.3887383!16s%2Fg%2F119w7_83x!19sChIJb6yrAqxzToYRkLjdnAQ-usg?authuser=0&hl=en&rclk=1
Piranha Killer Ramen,N/A,N/A,+1 682-410-0504,http://www.piranhakillerramen.com/,,https://www.google.com/maps/place/Piranha+Killer+Ramen/data=!4m7!3m6!1s0x864e62b9532c8e21:0xa84707e43e8a10d9!8m2!3d32.680715!4d-97.107068!16s%2Fg%2F1vpfjys8!19sChIJIY4sU7liToYR2RCKPuQHR6g?authuser=0&hl=en&rclk=1
Ebisu Japanese Restaurant,N/A,N/A,+1 512-243-5554,http://www.austinebisu.com/,"Ebisuaustin@Gmail.com, email@example.com",https://www.google.com/maps/place/Ebisu+Japanese+Restaurant/data=!4m7!3m6!1s0x865b33d75715d097:0xd241b92386997047!8m2!3d30.444882!4d-97.788963!16s%2Fg%2F11fmbkvymf!19sChIJl9AVV9czW4YRR3CZhiO5QdI?authuser=0&hl=en&rclk=1
Eddie V's Prime Seafood,N/A,N/A,+1 210-493-1600,https://www.eddiev.com/locations/tx/san-antonio/san-antonio/8505?cmpid=br:ev_ag:ie_ch:loc_ca:EVGMB_sn:gmb_gt:san-antonio-tx-8505_pl:locurl_rd:1004,,https://www.google.com/maps/place/Eddie+V%27s+Prime+Seafood/data=!4m7!3m6!1s0x865c6229d8b553a5:0x8d92b030bb232815!8m2!3d29.607733!4d-98.520898!16s%2Fg%2F1v3dsk3h!19sChIJpVO12CliXIYRFSgjuzCwko0?authuser=0&hl=en&rclk=1
Pluckers Wing Bar,N/A,N/A,+1 817-784-2473,https://www.pluckers.com/location/arlington,stishgart@pluckers.net,https://www.google.com/maps/place/Pluckers+Wing+Bar/data=!4m7!3m6!1s0x864e62bc82e8885f:0x1607ecfec16bac64!8m2!3d32.6796748!4d-97.1060318!16s%2Fg%2F1tgmwpv2!19sChIJX4jogrxiToYRZKxrwf7sBxY?authuser=0&hl=en&rclk=1
The River's Edge Cafe & Patio Bar,N/A,N/A,+1 210-270-0786,http://theriversedgesa.com/?y_source=1_MTU0MDUzMDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,info@theriversedgesa.com,https://www.google.com/maps/place/The+River%27s+Edge+Cafe+%26+Patio+Bar/data=!4m7!3m6!1s0x865c58ab087f8dfd:0x4d721d34cedb2693!8m2!3d29.422681!4d-98.4878397!16s%2Fg%2F1hhwhsf_7!19sChIJ_Y1_CKtYXIYRkybbzjQdck0?authuser=0&hl=en&rclk=1
Twin Peaks,N/A,N/A,+1 210-236-5437,https://twinpeaksrestaurant.com/locations/de-zevala-tx,user@domain.com,https://www.google.com/maps/place/Twin+Peaks/data=!4m7!3m6!1s0x865c66de784d0995:0x1cc59d3d9b49d55!8m2!3d29.5625498!4d-98.5919679!16s%2Fg%2F1ttph9m2!19sChIJlQlNeN5mXIYRVZ202dNZzAE?authuser=0&hl=en&rclk=1
Alta Mar,N/A,N/A,+1 210-600-4433,N/A,N/A,https://www.google.com/maps/place/Alta+Mar/data=!4m7!3m6!1s0x865c696ed4fd3a81:0x1993a83d22d9eed4!8m2!3d29.5153178!4d-98.696113!16s%2Fg%2F11sq5993dq!19sChIJgTr91G5pXIYR1O7ZIj2okxk?authuser=0&hl=en&rclk=1
Carrabba's Italian Grill,N/A,N/A,+1 972-732-7752,https://locations.carrabbas.com/texas/dallas/17548-dallas-pkwy?y_source=1_MTU1MDMwNjUtNzE1LWxvY2F0aW9uLndlYnNpdGU=,,https://www.google.com/maps/place/Carrabba%27s+Italian+Grill/data=!4m7!3m6!1s0x864c23fbb8a1220f:0x3437e8aa72443e77!8m2!3d32.9898778!4d-96.8280237!16s%2Fg%2F1vgw90bf!19sChIJDyKhuPsjTIYRdz5EcqroNzQ?authuser=0&hl=en&rclk=1
Dallas Hanbat,N/A,N/A,+1 972-484-2002,http://dallashanbat.com/,,https://www.google.com/maps/place/Dallas+Hanbat/data=!4m7!3m6!1s0x864c27f3a15b8fbf:0xb4474a9756a7306c!8m2!3d32.8959407!4d-96.9024047!16s%2Fg%2F1tcvztvh!19sChIJv49bofMnTIYRbDCnVpdKR7Q?authuser=0&hl=en&rclk=1
Bayleaf Indian Restaurant & Bar,N/A,N/A,+1 512-547-3200,http://www.bayleafaustin.com/,bayleafaustin@gmail.com,https://www.google.com/maps/place/Bayleaf+Indian+Restaurant+%26+Bar/data=!4m7!3m6!1s0x8644cfc50555278d:0x8f311f184a7c81c5!8m2!3d30.480748!4d-97.661378!16s%2Fg%2F11sfgq3l9y!19sChIJjSdVBcXPRIYRxYF8ShgfMY8?authuser=0&hl=en&rclk=1
Tejas Rodeo Company,N/A,N/A,+1 830-980-2226,https://www.tejasrodeo.com/,,https://www.google.com/maps/place/Tejas+Rodeo+Company/data=!4m7!3m6!1s0x865c7d7b5223beb7:0xb4ec227f9ca65ab4!8m2!3d29.7379932!4d-98.491333!16s%2Fg%2F1tmbwjxp!19sChIJt74jUnt9XIYRtFqmnH8i7LQ?authuser=0&hl=en&rclk=1
Burger Bar Cafe,N/A,N/A,+1 325-247-4660,https://www.burgerbarcafe.com/,"info@burgerbarcafe.com, ef5d9bbac3354b759bfd7a23c3313b3f@o244637.ingest.us.sentry.io",https://www.google.com/maps/place/Burger+Bar+Cafe/data=!4m7!3m6!1s0x865a4fc5c591e63d:0xbebe7a310fefd8fe!8m2!3d30.7570902!4d-98.6753692!16s%2Fg%2F1tj80d2z!19sChIJPeaRxcVPWoYR_tjvDzF6vr4?authuser=0&hl=en&rclk=1
Kyushu Hibachi Steakhouse and Sushi,N/A,N/A,+1 817-232-8777,http://www.kyushuhibachi.com/,,https://www.google.com/maps/place/Kyushu+Hibachi+Steakhouse+and+Sushi/data=!4m7!3m6!1s0x864dd938efe9548f:0x9ce2e2461cfa02f9!8m2!3d32.9026606!4d-97.3235561!16s%2Fg%2F11gr3q7hkb!19sChIJj1Tp7zjZTYYR-QL6HEbi4pw?authuser=0&hl=en&rclk=1
Asia Cafe,N/A,N/A,+1 512-331-5788,http://www.asiacafetx.com/,,https://www.google.com/maps/place/Asia+Cafe/data=!4m7!3m6!1s0x8644ccd85ff438f3:0xe19a5b19f0c00384!8m2!3d30.4325!4d-97.7713889!16s%2Fg%2F1vn18y3c!19sChIJ8zj0X9jMRIYRhAPA8BlbmuE?authuser=0&hl=en&rclk=1
Paparazzi Pizza,N/A,N/A,+1 972-820-8686,http://www.paparazzi-pizza.com/,,https://www.google.com/maps/place/Paparazzi+Pizza/data=!4m7!3m6!1s0x864c26773afb2c07:0x7eced0ef45e8c806!8m2!3d32.9743448!4d-96.890552!16s%2Fg%2F1tc_fnsv!19sChIJByz7OncmTIYRBsjoRe_Qzn4?authuser=0&hl=en&rclk=1
DeSano Pizzeria Napoletana,N/A,N/A,+1 512-323-2426,http://www.desanopizza.com/,,https://www.google.com/maps/place/DeSano+Pizzeria+Napoletana/data=!4m7!3m6!1s0x8644cbbacb5f13b9:0xcc6571f24d0e328e!8m2!3d30.3586091!4d-97.7307362!16s%2Fg%2F11c0xntprc!19sChIJuRNfy7rLRIYRjjIOTfJxZcw?authuser=0&hl=en&rclk=1
Circle G Restaurant,N/A,N/A,+1 830-484-2334,https://circleg.top/,black9@qq.com,https://www.google.com/maps/place/Circle+G+Restaurant/data=!4m7!3m6!1s0x865d23c58f86743f:0x4821abdeb3740df4!8m2!3d29.0739767!4d-98.0854203!16s%2Fg%2F1tf2sn6s!19sChIJP3SGj8UjXYYR9A10s96rIUg?authuser=0&hl=en&rclk=1
Eurasia Sushi Bar & Seafood,N/A,N/A,+1 512-382-0968,https://eurasiasushibar.com/,"topeurasia@gmail.com, email@example.com",https://www.google.com/maps/place/Eurasia+Sushi+Bar+%26+Seafood/data=!4m7!3m6!1s0x865b497ca05f5d09:0x840e2ebe06f6bf77!8m2!3d30.2346974!4d-97.8781955!16s%2Fg%2F11g6mc1yv6!19sChIJCV1foHxJW4YRd7_2Br4uDoQ?authuser=0&hl=en&rclk=1
Thai Esan,N/A,N/A,+1 512-993-5888,https://www.thaiesanaustin.com/,e081c35a018348d18e09ed427bf39b65@o462166.ingest.sentry.io,https://www.google.com/maps/place/Thai+Esan/data=!4m7!3m6!1s0x865b4b06652276cf:0x988c9c14505fa524!8m2!3d30.2069539!4d-97.8353175!16s%2Fg%2F11f631wmm2!19sChIJz3YiZQZLW4YRJKVfUBScjJg?authuser=0&hl=en&rclk=1
Sushi by Scratch Restaurants: Cedar Creek,N/A,N/A,+1 512-360-8601,https://www.exploretock.com/sushibyscratchrestaurants,,https://www.google.com/maps/place/Sushi+by+Scratch+Restaurants:+Cedar+Creek/data=!4m7!3m6!1s0x8644bdfe1bf4b829:0xa68f2a76f69be3a!8m2!3d30.1644151!4d-97.4447056!16s%2Fg%2F11sqdy613y!19sChIJKbj0G_69RIYROr5pb6fyaAo?authuser=0&hl=en&rclk=1
Shri Foods,N/A,N/A,+1 817-382-2348,https://shrifoods4u.com/,Shrifoods4u@gmail.com,https://www.google.com/maps/place/Shri+Foods/data=!4m7!3m6!1s0x864dd957c49015c7:0x55a29e0c8c3c8a62!8m2!3d32.9391437!4d-97.2675813!16s%2Fg%2F11t4bmhyjt!19sChIJxxWQxFfZTYYRYoo8jAyeolU?authuser=0&hl=en&rclk=1
